Datetime,ScreenName,Text,Geolocation
3/7/2021 23:59,Innocent1Ashish,@Cute__Ruchi @RoopShehnaazian Suspend nhi h thodi der me sab activate ho jayega,Mumbai
3/7/2021 23:59,levonmark_,"RT @BOWorldwide: #VakeelSaabReview: #PawanKalyan’s Film Is A Story That Makes You Think &amp; Cry At The Same Time!

Critics Rating: ⭐⭐⭐ 1/2

@…",Mumbai
3/7/2021 23:59,YashuRakul,RT @taran_adarsh: #South leads yet again... #Telugu film #VakeelSaab [#PawanKalyan] and #Tamil film #Karnan [#Dhanush] are setting the #BO…,Mumbai
3/7/2021 23:59,Iraivan10,@c0rpscat based post,Mumbai
3/7/2021 23:59,layshaglezzz,RT @vikasydv_: I’m the one who is hurting my own feelings by having high hopes lol,Mumbai
3/7/2021 23:59,An0nymous07,@bisouvante A Smut's coming!!!!!,Mumbai
3/7/2021 23:59,Sathish_1018,RT @bhogleharsha: Still the best. AB.,Mumbai
3/7/2021 23:59,atulsinha02,"RT @NiteshNRane: Arre bhai..
Woh “Varun” defamation notice ka kya hua? 
Or everyone is quarantined with the “penguin” at the byculla zoo ??…",Mumbai
3/7/2021 23:59,ravikantagaur,"""'After Polls In 4 States, Election Body's Covid Warning About Rallies""""
वाह-वाह...
It's funny to call it an election rally &amp; then follow 6' distance,use of sanitizer,checking temperature of so many people , really a joke!With so many jokes already there...Have a heart.. Mockery!",Mumbai
3/7/2021 23:59,Fatima_Z0hra,@AchillezZ__ All India Muslim Personal Law Board were always biased. Don't trust them much.,Mumbai
3/7/2021 23:59,GyanendraDash5,"RT @IPL: Upstox Most Valuable Asset of the Match between @mipaltan and @RCBTweets is Harshal Patel.

@upstox #StartKarkeDekho #VIVOIPL http…",Mumbai
3/8/2021 23:59,krveale,"RT @imMAK02: Do you remember this video from Delhi Anti-Muslim carnage?

Read what Waseem alleged in his complaint against cops. 

SHO Shai…",Mumbai
3/8/2021 23:59,shashankpj,Can HEROcoin make money from Betting and Gaming? https://t.co/v3jbtffTta,Mumbai
3/8/2021 23:59,VishneswarR,RT @Smart_Dummi: @shirishthorat @AmitShah We can see some of them in civil uniforms too. I doubt these folks come out to mingle with the ou…,Mumbai
3/8/2021 23:59,vrushabheee,Yeah I talk a lot sit down,Mumbai
3/8/2021 23:59,Himanshuji777,"RT @OfficialMSGfc: Dera Sacha Sauda is running an initiative ""Kul Ka Crown"" to promote gender equality. Under this the broom stays at bride…",Mumbai
3/8/2021 23:59,pat_20m,"RT @AudaciousQuest_: Red terror in Kerala.

- How many Congress worker has BJP k*lled because of losing elections even in cow belt?
- How m…",Mumbai
3/8/2021 23:59,AarenShintre,@deliciaonlyy @embarraseddonut Bruhhh😂😭,Mumbai
3/8/2021 23:59,TOIMumbai,Mumbai: Elgar hearing: Court asks how defence got digital forensic report https://t.co/Qzhisrl0ra,Mumbai
3/8/2021 23:59,kidcoziboi,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/8/2021 23:59,Gauher7Imteyaz,"RT @RajeevMatta: BJP is World's No 1.
No other political party anywhere in the world has bought more public representatives (MLAs) than BJP…",Mumbai
3/8/2021 23:59,imranafrica84,Why there is no water supply in Andheri K west today ? @mybmc @mybmcwardKW,Mumbai
3/8/2021 23:59,SriArjun18,Transcendental consciousness (part 80) https://t.co/hCRTXjvwPp,Mumbai
3/9/2021 23:59,Priyanka_Thrive,"RT @bharatidubey: Making young girls believe every dream is possible, another feather added to #PriyankaChopra’s shining cap. The power ico…",Mumbai
3/9/2021 23:59,piyushlive1,"Super #Show Green Village Resort, Mumbai https://t.co/Am18YpGJ8R https://t.co/pBQLtNvfx8",Mumbai
3/9/2021 23:59,Sathish_1018,"RT @IPL: Award for CRED Power Player of the Match between @mipaltan and @RCBTweets goes to Virat Kohli.

@CRED_club  #CREDPowerplay #VIVOIP…",Mumbai
3/9/2021 23:59,FireFly53647402,"RT @AdvAshutoshDube: OMG!😲
Jolly LL.B 2 scene in real life!
Be aware of such fraud and scammers!
https://t.co/ZcUZJLI5T9",Mumbai
3/9/2021 23:59,cookytaee,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/9/2021 23:59,LOVE4SSR2,"RT @harry_230491: Lie about his Suicide will Die very soon
@ips_nupurprasad U have to rule out suicide theory

SUSHANT LIVES FOREVER",Mumbai
3/9/2021 23:59,haki_705,"RT @dsouzaprinson10: Petition to remake Kabir Singh with Rahul Dravid as the protagonist.
#RahulDravid #Cred https://t.co/tmkP9XB94k",Mumbai
3/9/2021 23:59,sunay1985,RT @santoshEB21: Just witnessed a hit and run opposite Shanti Ashram Depot Borivali West. The driver fled the spot immediately leaving the…,Mumbai
3/9/2021 23:59,thalia_twt,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/9/2021 23:59,priran,@KaduAmol Om shanti,Mumbai
3/9/2021 23:59,anupammishra91,"RT @RatanSharda55: A factoid - 
One of the earliest resolution of #RSS was for restoration of all Hindu temples (with focus on #KashiVishwa…",Mumbai
3/9/2021 23:59,ValPillai,RT @MinhazMerchant: #SachinWaze currently being driven to #TalojaJail. The route must look familiar to him #Karma,Mumbai
3/10/2021 23:59,Ramesh75263565,"RT @Twinkleinvest: 11 Stocks to Buy &amp; Hold for Years 📈

1. HDFC Bank
2. Bajaj Finance
3. Airtel
4. Asian Paints
5. ITC
6. TCS
7. Pidilite
8…",Mumbai
3/10/2021 23:59,iwmbuzz,"#ShraddhaArya’s big fashion hack for a hot summer day revealed Follow Us on @iwmbuzz @shraddhaaryafp

 #FashionInfluencer #hot #ShraddhaArya

https://t.co/QPlWvI6J3z",Mumbai
3/10/2021 23:59,mr_pavithran_,"RT @MalavikaM_: Fridays are for riding 🏍🖤
#EnfieldLoverForLife https://t.co/Dc2PGPofc4",Mumbai
3/10/2021 23:59,23flowery_,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/10/2021 23:59,_jaggicheema,"RT @amaanbali: The labourers belonging to Bihar, UP, Chattisgarh &amp; Jharkhand under the banner of Pravasi Mazdoor Samiti protested for the s…",Mumbai
3/10/2021 23:59,levonmark_,"RT @BOWorldwide: #VakeelSaabReview: #PawanKalyan’s Film Is A Story That Makes You Think &amp; Cry At The Same Time!

Critics Rating: ⭐⭐⭐ 1/2

@…",Mumbai
3/10/2021 23:59,YashuRakul,RT @taran_adarsh: #South leads yet again... #Telugu film #VakeelSaab [#PawanKalyan] and #Tamil film #Karnan [#Dhanush] are setting the #BO…,Mumbai
3/10/2021 23:59,Iraivan10,@c0rpscat based post,Mumbai
3/10/2021 23:59,layshaglezzz,RT @vikasydv_: I’m the one who is hurting my own feelings by having high hopes lol,Mumbai
3/10/2021 23:59,An0nymous07,@bisouvante A Smut's coming!!!!!,Mumbai
3/10/2021 23:59,Sathish_1018,RT @bhogleharsha: Still the best. AB.,Mumbai
3/10/2021 23:59,atulsinha02,"RT @NiteshNRane: Arre bhai..
Woh “Varun” defamation notice ka kya hua? 
Or everyone is quarantined with the “penguin” at the byculla zoo ??…",Mumbai
3/10/2021 23:59,ravikantagaur,"""'After Polls In 4 States, Election Body's Covid Warning About Rallies""""
वाह-वाह...
It's funny to call it an election rally &amp; then follow 6' distance,use of sanitizer,checking temperature of so many people , really a joke!With so many jokes already there...Have a heart.. Mockery!",Mumbai
3/11/2021 23:59,Fatima_Z0hra,@AchillezZ__ All India Muslim Personal Law Board were always biased. Don't trust them much.,Mumbai
3/11/2021 23:59,GyanendraDash5,"RT @IPL: Upstox Most Valuable Asset of the Match between @mipaltan and @RCBTweets is Harshal Patel.

@upstox #StartKarkeDekho #VIVOIPL http…",Mumbai
3/11/2021 23:59,rmshetty19,RT @KanganaTeam: @Bipin64805424 @BhaktWine Thank you @taapsee well deserved Vimal elaichi filmfare award.... no one deserves it more than y…,Mumbai
3/11/2021 23:59,ojhaup,RT @RanaAyyub: Some days I desperately need Baldwin to feel less isolated https://t.co/7HC2rPEqkF,Mumbai
3/11/2021 23:59,TOIMumbai,Mumbai: Don’t use loudspeakers for ‘sehri’ call: Islamic Centre https://t.co/j3JBZ4BKf4,Mumbai
3/11/2021 23:59,ughside,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/11/2021 23:59,khalidazam,"RT @RanaAyyub: Setting the stage for demolition of yet another mosque in India, sanctioned by the judiciary, endorsed by the regime, abette…",Mumbai
3/11/2021 23:59,Enrikr,"RT @VinayGohil4: Hot take: China has more Free Speech, Free Press than any of the western countries and the CPC does NOT stop their citizen…",Mumbai
3/11/2021 23:59,GyanendraDash5,"RT @IPL: Safari Super Striker of the Match between @mipaltan and @RCBTweets is AB de Villiers.

@TataMotors_Cars #SafariSuperStriker #VIVOI…",Mumbai
3/11/2021 23:59,TanusreeMullick,"RT @harry_230491: Lie about his Suicide will Die very soon
@ips_nupurprasad U have to rule out suicide theory

SUSHANT LIVES FOREVER",Mumbai
3/12/2021 23:59,hegde_vb,"RT @Schandillia: At the risk of sounding cruel, beg to differ on that last sentence. You didn’t vote for a better life, you voted to “teach…",Mumbai
3/12/2021 23:59,tungteknawlegee,"RT @happiestsouleva: YOU ALL ARE SO |&gt;|&lt;\$\€ 

https://t.co/FHNffsB7dS",Mumbai
3/12/2021 23:59,ohorei,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/12/2021 23:59,hegde_vb,RT @priyankac19: It is high time that ministers- including the cheerleaders in the cabinet who jumped in to tweet against the state of Maha…,Mumbai
3/12/2021 23:59,indraneelroy96,"RT @FPLxGod: Just finished editting and shooting the first episode. Should be up in less than 2 hours! Happy FPLing 😅
Sneak Peek 👀⤵️ https:…",Mumbai
3/12/2021 23:59,BotJammu,RT @Saahil_v: @sudhirchaudhary @ZeeNews Please note that it is not expected from journalists like you to mention #ChenabArchBridge in Kashm…,Mumbai
3/12/2021 23:59,TOIMumbai,Rlys rules out curtailing train services amid Covid case spike https://t.co/ct6ouUUGj3,Mumbai
3/12/2021 23:59,PotdarHarish,RT @CAPratikKarpe: So is this how Vaccine Shortage is being created in Mumbai and Maharashtra just to hide the failure of @OfficeofUT Gover…,Mumbai
3/12/2021 23:59,YashCultSumith,"RT @TheParulYadav: Ee sala cup Namde 
#IPL2021 💓
One down 13 to go ✨
@rcbtweets #WeAreChallengers #DareToDream #RCBvsMI #RCB",Mumbai
3/12/2021 23:59,arthurfromdd,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/12/2021 23:59,shabbirahmad36,"RT @imMAK02: Do you remember this video from Delhi Anti-Muslim carnage?

Read what Waseem alleged in his complaint against cops. 

SHO Shai…",Mumbai
3/12/2021 23:59,nviswam,RT @jagdishshetty: “Cowards die many times before their Death!” This applies to all such fools who defended Uttarakhand BJP Govt take over…,Mumbai
3/12/2021 23:59,TOIMumbai,Mumbai: ‘Online board exams not viable option this year’ https://t.co/4pfx1gWufF,Mumbai
3/12/2021 23:59,nviswam,RT @jagdishshetty: VICTORY FOR HINDUS ! Dr @Swamy39 determination bears fruits ! BJP Government withdraws from the controversial takeover o…,Mumbai
3/13/2021 23:59,KarvanVlogs,RT @bachpanamitabh: 2  Loyal  Bjp spokesperson on  Royal Enfield https://t.co/V0owkgSNDI,Mumbai
3/13/2021 23:59,Zauberwaurfel,RT @sidharth_shukla: @VidyutJammwal @MuscleBlaze Bhai with all due respect to #Kalaripayattu but the word unstoppable itself means that you…,Mumbai
3/13/2021 23:59,PBhardwaj28,RT @ad_waitt: hate that feeling when you miss someone but can't tell them that we miss them,Mumbai
3/13/2021 23:59,tungteknawlegee,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/13/2021 23:59,CcrKaphle,"RT @9XJalwa: We think Salman Khan and Karisma Kapoor made a great onscreen jodi. Can you guess this superhit song?
#SalmanKhan #SalmanKhanS…",Mumbai
3/13/2021 23:59,jais_diary,@polisciprofhi Your journey for disillusionment is beginning...........,Mumbai
3/13/2021 23:59,povboo,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/13/2021 23:59,thenameisganuu,@iChoudharyDpk @rampurpolice @OmPraka43229608 @shalabhmani @Uppolice Chavrang,Mumbai
3/13/2021 23:59,theinsaneinsan,@Airtel_Presence @Airtel_Presence need urgent help,Mumbai
3/13/2021 23:59,pulki_bushu,"RT @iMac_too: Gangotri of Lutyens, St Stephen's is losing sheen. And that's very painful https://t.co/aPAVvyIU90",Mumbai
3/13/2021 23:59,MapleAbdullahFC,"RT @Shriraj01211870: Can we do 1 million in next hour and complete 30 million on #Galat

Come on 🔥 lets see now 
@AseesKaur @RubiDilaikOFC…",Mumbai
3/13/2021 23:59,TOIMumbai,Mumbai: ‘Touts offer tickets to UP at 5 times the actual fare’ https://t.co/PVSlB9YHPj,Mumbai
3/13/2021 23:59,AliKhanlivepk17,"RT @IPL: Innings Break!

A brilliant 5-wkt haul from @HarshalPatel23 restricts #MI to a total of 159/9 at Chennai.

Scorecard - https://t.c…",Mumbai
3/9/2021 23:57,yeshobi,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/7/2021 23:59,DianaMSharpton,RT @LazyWife_: A Poppy Field #flowers #naturelover #sunshine #artistsontwitter https://t.co/iS28WGcEyO,Bangalore
3/7/2021 23:59,WalunjDevram,RT @DianaPenty: Major weekend plans...😎 https://t.co/gIMmJ4BNi0,Bangalore
3/7/2021 23:59,pulki_bushu,"RT @iMac_too: We don't need @Barugaru1 to know things. We saw it 7 yrs before he could see 
https://t.co/Uoe8Dsdvve",Bangalore
3/7/2021 23:59,VishalParanjpe_,RT @devduttmyth: @ludaycrous Don't be a bigot. Stereotyping constantly.,Bangalore
3/7/2021 23:59,DianaMSharpton,RT @LazyWife_: Happy Mahashivratri #lovers #foreverlove #eternity #gods #artistsontwitter https://t.co/VlQVkFnffM,Bangalore
3/7/2021 23:59,vidhyaraman,@sanilp @ANI @mybmc They are capable of that too. The rotten lot they are,Bangalore
3/7/2021 23:59,Balacha45190873,RT @YUVSTRONG12: Don’t understand @ABdeVilliers17 batting at no 5 !!? 🤷‍♂️your best batsmen after opening have to come at no 3 or no 4 in t…,Bangalore
3/7/2021 23:59,IEppKUIS3dfsmzU,"RT @harry_230491: Lie about his Suicide will Die very soon
@ips_nupurprasad U have to rule out suicide theory

SUSHANT LIVES FOREVER",Bangalore
3/7/2021 23:59,andacyo,"RT @CinemaRareIN: Rebellious, irreverent wunderkind Gülseren navigates loneliness, love and loss against the current of political turmoil a…",Bangalore
3/7/2021 23:59,OPTIONT69408203,"RT @AdvAshutoshDube: OMG!😲
Jolly LL.B 2 scene in real life!
Be aware of such fraud and scammers!
https://t.co/ZcUZJLI5T9",Bangalore
3/7/2021 23:59,TOIMumbai,2 Russians held for stunts at BWSL in Mumbai https://t.co/EgWQjIPQJ9,Bangalore
3/8/2021 23:59,AliKhanlivepk17,"RT @IPL: Two in two for @HarshalPatel23 👌👌

Krunal and Pollard depart.

Live - https://t.co/zXEJwz8oY0 #MIvRCB #VIVOIPL https://t.co/3gVkm2…",Bangalore
3/8/2021 23:59,muhammedishaque,"RT @smartydawood: Contrustion which has been done near Jasmine mill G/N area road is not completed yet and work quality is inferior, kindly…",Bangalore
3/8/2021 23:59,vamshireddy9182,"RT @sanjaymanjrekar: Not 6 not 7, RCB have  8 serious bowling options tonight. They would do well to stay in the moment &amp; let the bowler ha…",Bangalore
3/8/2021 23:59,maxm_profit,"RT @kyalashish: Stocks for the day - Discussion on markets and its direction, Overall view on #Nifty and selective #Stocks- #canarabank &amp; #…",Bangalore
3/8/2021 23:59,Pr0udSn0wflake,"RT @imMAK02: Do you remember this video from Delhi Anti-Muslim carnage?

Read what Waseem alleged in his complaint against cops. 

SHO Shai…",Bangalore
3/8/2021 23:59,hpworldborivali,"We made a promise that 
We always want to become a friend with our customers become a family with an strong relationship and we are doing it thanks for supporting us becoming a superb and big organisation of hp world in Mumbai 

Thanks everyone 🙏🙏🙏😊😊😊 https://t.co/JIH4MR5Uvu",Bangalore
3/8/2021 23:59,mintchocobi,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/8/2021 23:59,iAbhishekPratap,"This whole thread😂😂😂
@sau_shubh @ashek358 https://t.co/EO2VRE82lZ",Bangalore
3/8/2021 23:59,hemant_p,RT @Iam_Sid_39: @Deepaklahe25 @drharshvardhan @narendramodi @BJP4India @JPNadda @AmitShah @MoHFW_INDIA @AyushmanNHA @moayush @mygovindia @P…,Bangalore
3/8/2021 23:59,Aeroditya,@en_sharapov @jessejanderson @craftdocsapp @RoamResearch Can you pass me an invite?,Bangalore
3/8/2021 23:59,Sofia48438669,"RT @RubinaDilaikUFC: Final look of my hardwork, I know you will like it, all #RubiHolics will be displayed in MENTIONS page🤗

Sorry for mak…",Bangalore
3/8/2021 23:59,TOIMumbai,Maharashtra: MPSC exam has been postponed https://t.co/8eKgAIGQnM,Bangalore
3/9/2021 23:59,hoyaminabe,"RT @VidyutJammwal: A conversation between warrior souls. @chase_armitage  (Student Of movement)

Full video out now...
Link: https://t.co/Y…",Bangalore
3/9/2021 23:59,pravinsindia,Education: Amazon Web Services Understanding the Virtual Private Cloud https://t.co/xsAb09xGC5 #vmukta #learnonline #freecourses #freelearning #onlinecourses #courseswithcertificate #learnaws #amazon #cloudcomputing,Bangalore
3/9/2021 23:59,gaonkarsandeep,@Republic_Bharat Boycott Bachhan and bollywood,Bangalore
3/9/2021 23:59,viratian_jd,"RT @IPL: Safari Super Striker of the Match between @mipaltan and @RCBTweets is AB de Villiers.

@TataMotors_Cars #SafariSuperStriker #VIVOI…",Bangalore
3/9/2021 23:59,thvgxn,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/9/2021 23:59,jasminbhasinNnn,"Let the stress go and Let the blessings flow keep your head up and keep pushing forward. God has a plan. Good Night♥️💫 #JasminBhasin #Jasminians 

I LOVE YOU JAS🌸✨ https://t.co/ChmA2kGaps",Bangalore
3/9/2021 23:59,sudo_BreeB,"RT @VinayGohil4: Hot take: China has more Free Speech, Free Press than any of the western countries and the CPC does NOT stop their citizen…",Bangalore
3/9/2021 23:59,aruuushii,@kaandalelo and honestly i'll let them,Bangalore
3/9/2021 23:59,latif__13,"RT @RajeevMatta: 30+ doctors of AIIMS.
30+ doctors of Sir Gangaram Hospital. 
30+ doctors of King George Medical College, Lucknow.
All Covi…",Bangalore
3/9/2021 23:59,iamrahimkhan1,"RT @INCMumbai: Population of Maharashtra is nearly double of Gujarat's.

Even Rajasthan has a larger population than Gujarat.

But, Gujarat…",Bangalore
3/9/2021 23:59,iamrizwanm,"RT @KrisNair1: Being a citizen, I have every right to criticize Prime Minister #Modi if he is not performing",Bangalore
3/9/2021 23:59,L0vely_c4t,"RT @happiestsouleva: YOU ALL ARE SO |&gt;|&lt;\$\€ 

https://t.co/FHNffsB7dS",Bangalore
3/10/2021 23:59,coffeexbooksx,"RT @IPL: Award for CRED Power Player of the Match between @mipaltan and @RCBTweets goes to Virat Kohli.

@CRED_club  #CREDPowerplay #VIVOIP…",Bangalore
3/10/2021 23:59,ChillyAvalanzhe,RT @Adxrsh26: Black Twitter and Irish Twitter when they heard the news #PrincePhilip https://t.co/uVHcP9qNq2,Bangalore
3/10/2021 23:59,HeavenSidheart,RT @sidharth_shukla: @Sidheart_life @Sid_ShuklaFC Do the know Sidharth 😌,Bangalore
3/10/2021 23:59,NarinderRayet,"RT @SrBachchan: T 3869 - It is just past midnight and ..
Mumbai .. the city that never sleeps .. has become so silent  ..",Bangalore
3/10/2021 23:59,MeraBharatMah,RT @bhogleharsha: Two tall fast bowlers made very impressive #IPL debuts today. Look forward to seeing more of Jamieson and Jansen.,Bangalore
3/10/2021 23:59,prolifiicvision,@ananyawillbrb What’s the difference?,Bangalore
3/10/2021 23:59,BettyBo24994936,RT @passivelyactive: #dustbath by #chestnutheadedbeeeaters These Birds roll on dust at real fag end of the day to clean the fur/feathers to…,Bangalore
3/10/2021 23:59,Alks_24,RT @anandmahindra: Just incredible. These guys are real heroes.  https://t.co/juPwrJJcwP,Bangalore
3/10/2021 23:59,Vishwajeetk001,"RT @RanvirShorey: Protector of liberal values, @rohini_sgh has not only blocked me on #Twitter, but also on #Clubhouse just now, where she’…",Bangalore
3/10/2021 23:59,HughJaeger,"RT @imMAK02: Do you remember this video from Delhi Anti-Muslim carnage?

Read what Waseem alleged in his complaint against cops. 

SHO Shai…",Bangalore
3/10/2021 23:59,comfortingtae,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/10/2021 23:59,Voiceofmalwani,Happy Birthday to one of the most Fearless women in india @ReallySwara https://t.co/JH4sQxgVCo,Bangalore
3/10/2021 23:59,GIOAssassin,RT @Adxrsh26: when irish twitter and black twitter hear that another royal is dead #PrincePhilip https://t.co/uhlzGApScl,Bangalore
3/11/2021 23:59,ajitjoshi_in,Patreon triples valuation to $4 billion in new raise – TechCrunch https://t.co/TWrpatj2NQ,Bangalore
3/11/2021 23:59,prerna_j,I’ve been up since 4 am. Why does my brain hate me so much ?,Bangalore
3/11/2021 23:59,vamshireddy9182,"RT @sanjaymanjrekar: English not my strong suit. What’s the adjective for ‘better than genius’? 
That’s what AB is! Really! 🙏🏼🙏🏼
#RCBvsMI",Bangalore
3/11/2021 23:59,TOIMumbai,Mumbai: Bizman’s Rs 78cr property attached in Wadhawan case https://t.co/9Gfd3IITJj,Bangalore
3/11/2021 23:59,samucancld,"RT @vinayak26_: If opposition players touch their bums they will become gay, nice tactics 👍",Bangalore
3/11/2021 23:59,Sugir68770452,"RT @AudaciousQuest_: BJP is not scared of Covid or China. They are scared of @RahulGandhi . They have put all their energy, time and resour…",Bangalore
3/11/2021 23:59,kookiecheeks,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/11/2021 23:59,advssjoshi,RT @republic: Uttarakhand CM revokes Trivendra govt's Char Dham law; frees 51 temples from state control https://t.co/gJQTbVyPPb,Bangalore
3/11/2021 23:59,sirajnoorani,"Mahesh Shetty's statement was also recorded by National Investigation Agency (NIA) earlier today, in connection with Antilia bomb scare case &amp; Mansukh Hiren death case.",Bangalore
3/11/2021 23:59,Bepannaah_Craze,"RT @rebel4SSR: For those who thought they got rid off him on 13th/14th June,

Mahadev has blessed Sushant. 

Now he lives within many &amp; eve…",Bangalore
3/12/2021 23:59,SureshVijkumar,RT @mipaltan: What an effort this was from Marco! The youngster gave his all in a tough situation 👏,Bangalore
3/12/2021 23:59,Archana86264610,"RT @AccessTV2: Video Link - https://t.co/ligohHZYXB

Eijaz Khan Reaction On Rubina Dilaik And Paras Chhabra's Song Galat | Access TV

#pavi…",Bangalore
3/12/2021 23:59,sivajirathod142,"RT @BOWorldwide: #VakeelSaabReview: #PawanKalyan’s Film Is A Story That Makes You Think &amp; Cry At The Same Time!

Critics Rating: ⭐⭐⭐ 1/2

@…",Bangalore
3/12/2021 23:59,PolitcsObserver,"@rathinakatti @Schumy_Official Looks like Thiruma is a constant fake news spreader and from Whatapp University. Atleast in the Dhakshina Pradesh issue. But now, looks like this claim is same. Can you provide with proof ?
https://t.co/1bUHigArjW",Bangalore
3/12/2021 23:59,chandernj,RT @MadhuriDixit: The magic hour 🌅 https://t.co/t47SOXtd13,Bangalore
3/12/2021 23:59,Satyam43635737,"RT @ITRADE191: How I traded intraday today being a Friday. Look at this chart and try to understand, watch the IPL and enjoy your weekend.…",Bangalore
3/12/2021 23:59,SSRaliveinme,"RT @Innocent1Ashish: Thanks buddy @HeliPandya8 For Tagging Me :)
SUSHANT LIVES FOREVER ❤️
@_innocent_yash @itssYSR @PreetiK2021 @SeriEterni…",Bangalore
3/12/2021 23:59,sirajnoorani,"Central Bureau of Investigation (CBI) recorded the statement of Mahesh Shetty, a bar owner who is close to #SachinWaze, in connection with extortion allegations against former #Maharashtra Home Minister #AnilDeshmukh.

#Maharashtra",Bangalore
3/12/2021 23:59,Yash13490,"RT @SunainaHoley: Remdesivir ❌
Tocilizumab ❌
Oxygen ❌
Beds ❌

Covishield Vaccines 15 Lac ✅
More is in the pipeline.. 

But Vaccination Is S…",Bangalore
3/12/2021 23:59,Hemant_Binnani,@Ashabachchan Good Morning Rashaji,Bangalore
3/12/2021 23:59,YashCultSumith,RT @YashCult_Jk: Today #KGFChapter2 Is Most Awaited Pan India Movie in India Main Reason For this @TheNameIsYash BOSS his taken initiative…,Bangalore
3/12/2021 23:59,datejisoo,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/12/2021 23:59,nuthan_ch,"RT @rebel4SSR: @shinne_tu73901 @Republic_Bharat 🙌🏼
Sushant Lives Forever",Bangalore
3/12/2021 23:59,ifavsooya,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/13/2021 23:59,WanGirlxxx,RT @secutebeliebz: JUSTIN BIEBER ALWAYS UNDERSTANDS THE ASSIGNMENT !!! https://t.co/avQKjN6bJX,Bangalore
3/13/2021 23:59,bittuKu36153446,"RT @SonuSood: Already on it buddy. 
#lagwayakya https://t.co/oIBBkwx1n9",Bangalore
3/13/2021 23:59,prasanna3009,"RT @DrRahulGhule11: Sorry to say but 
If lockdown not done then unfortunately patients will die either  at home or outside hospital.. 
( Le…",Bangalore
3/13/2021 23:59,sunay1985,"RT @DrRahulGhule11: We request govt of maharashtra to do complete lockdown for atleast 21 days, otherwise it will paralyze Healthcare syste…",Bangalore
3/13/2021 23:59,sonu74m,RT @iMac_too: Your lord Pappu is busy on Twitter,Bangalore
3/13/2021 23:59,SSRaliveinme,"RT @Innocent1Ashish: Shining like a Star and Smelling like a flower @itsSSR 
Urs Forever 🖤💛🙏🏻💚💜

SUSHANT LIVES FOREVER ♥️ 🙏🏻 https://t.co/o…",Bangalore
3/13/2021 23:59,Zoopig2,RT @bookmyshow: Pawan Kalyan understood and aced his assignments every single time. #VakeelSaab https://t.co/gA11WxpntT,Bangalore
3/13/2021 23:59,Mahipankaj07,"RT @StanMSD: Everything looks So Dull 
Scorecard , fake Crowd sounds , Commentary ! #IPL2021",Bangalore
3/13/2021 23:59,bilawalbir,"RT @MXPlayer: It's going to be one hell of a ride! 

#CruisingLegendsOnMX, trailer out soon 🏍

Watch the teaser here: https://t.co/KU4XERem…",Bangalore
3/13/2021 23:59,ananbiladers,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/13/2021 23:59,VikasGhogare3,"RT @dinesh_sir: As per current situation, we have conducted online poll of Maharashtra Students to know their view for upcoming board exams…",Bangalore
3/13/2021 23:59,Bony01161,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/13/2021 23:59,Zauberwaurfel,"RT @glamsham: Sidharth Shukla and Sonia Rathee share a lip lock in Broken But Beautiful 3

#Glamsham @sidharth_shukla #soniarathee @ektarka…",Bangalore
